product_id,product_name,brand,category,subcategory,price,currency,discount_percent,discounted_price,rating,reviews_count,popularity_score,stock_status,date_added,description,image_url
P100000,iPhone 13,Apple,Electronics,Smartphone,65372,INR,57,28109.96,3.7,3050,11285.0,Limited Stock,2025-10-17,Apple iPhone 13 is a premium smartphone designed for performance and comfort.,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800
P100001,Zara Shirt,Zara,Fashion,Shirt,2616,INR,55,1177.2,4.1,4699,19265.9,Out of Stock,2026-03-22,Zara Zara Shirt is a premium shirt designed for performance and comfort.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
P100002,RayBan Sunglasses,RayBan,Accessories,Sunglasses,1305,INR,58,548.1,3.6,1700,6120.0,In Stock,2025-07-12,RayBan RayBan Sunglasses is a premium sunglasses designed for performance and comfort.,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800
P100003,Puma Sneakers,Puma,Footwear,Sneakers,7471,INR,60,2988.4,3.5,860,3010.0,In Stock,2026-04-12,Puma Puma Sneakers is a premium sneakers designed for performance and comfort.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800
P100004,Nike T-shirt,Nike,Fashion,T-shirt,1305,INR,37,822.15,3.9,138,538.2,Limited Stock,2025-10-30,Nike Nike T-shirt is a premium t-shirt designed for performance and comfort.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
P100006,Fossil Watch,Fossil,Accessories,Watch,2959,INR,47,1568.27,4.2,3007,12629.4,Limited Stock,2025-06-21,Fossil Fossil Watch is a premium watch designed for performance and comfort.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P100007,Reebok Shoes,Reebok,Footwear,Training Shoes,3990,INR,57,1715.7,3.8,49,186.2,In Stock,2024-06-20,Reebok Reebok Shoes is a premium training shoes designed for performance and comfort.,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=800
P100009,Wildcraft Backpack,Wildcraft,Accessories,Backpack,3246,INR,65,1136.1,4.9,2903,14224.7,In Stock,2025-04-26,Wildcraft Wildcraft Backpack is a premium backpack designed for performance and comfort.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P100010,Adidas Hoodie,Adidas,Fashion,Hoodie,2627,INR,34,1733.82,5.0,1831,9155.0,Limited Stock,2026-01-16,Adidas Adidas Hoodie is a premium hoodie designed for performance and comfort.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P100012,OnePlus 11,OnePlus,Electronics,Smartphone,22133,INR,50,11066.5,4.1,1316,5395.6,In Stock,2025-08-25,OnePlus OnePlus 11 is a premium smartphone designed for performance and comfort.,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800
P100016,Sony Headphones,Sony,Electronics,Headphones,46792,INR,54,21524.32,4.2,4002,16808.4,Limited Stock,2024-07-22,Sony Sony Headphones is a premium headphones designed for performance and comfort.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800
P100017,Levi's Jeans,Levi's,Fashion,Jeans,2698,INR,21,2131.42,4.6,3783,17401.8,Limited Stock,2025-09-22,Levi's Levi's Jeans is a premium jeans designed for performance and comfort.,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800
P100020,American Tourister Bag,American Tourister,Accessories,Travel Bag,904,INR,34,596.64,3.9,2892,11278.8,In Stock,2024-05-23,American Tourister American Tourister Bag is a premium travel bag designed for performance and comfort.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P100026,HP Pavilion,HP,Electronics,Laptop,45043,INR,54,20719.78,3.4,1492,5072.8,In Stock,2025-03-28,HP HP Pavilion is a premium laptop designed for performance and comfort.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800
P100027,Boat Earbuds,Boat,Electronics,Earbuds,18952,INR,13,16488.24,3.4,1854,6303.6,Limited Stock,2024-08-09,Boat Boat Earbuds is a premium earbuds designed for performance and comfort.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P100032,Nike Air Max,Nike,Footwear,Sneakers,1231,INR,70,369.3,3.5,4958,17353.0,Limited Stock,2026-04-10,Nike Nike Air Max is a premium sneakers designed for performance and comfort.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800
P100034,Puma Jacket,Puma,Fashion,Jacket,4400,INR,37,2772.0,4.7,1263,5936.1,Out of Stock,2024-06-18,Puma Puma Jacket is a premium jacket designed for performance and comfort.,https://images.unsplash.com/photo-1551028711-031c50728a63?w=800
P100036,Samsung Galaxy S21,Samsung,Electronics,Smartphone,37795,INR,57,16251.85,4.1,4452,18253.2,Limited Stock,2026-01-08,Samsung Samsung Galaxy S21 is a premium smartphone designed for performance and comfort.,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800
P100037,Adidas Ultraboost,Adidas,Footwear,Running Shoes,6248,INR,6,5873.12,3.5,3602,12607.0,Out of Stock,2024-05-05,Adidas Adidas Ultraboost is a premium running shoes designed for performance and comfort.,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=800
P100043,H&M Sweatshirt,H&M,Fashion,Sweatshirt,2024,INR,19,1639.44,4.3,374,1608.2,In Stock,2024-09-16,H&M H&M Sweatshirt is a premium sweatshirt designed for performance and comfort.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
P100127,Dell Laptop,Dell,Electronics,Laptop,79156,INR,41,46702.04,4.5,1958,8811.0,In Stock,2024-12-26,Dell Dell Laptop is a premium laptop designed for performance and comfort.,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800
P2000,Premium Sneakers v11,GenericBrand,Footwear,Sneakers,70041,INR,15,59534.85,4.6,1463,10561.0,Limited Stock,2025-01-01,A premium Sneakers designed for comfort and style.,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800
P2001,Premium Jeans v4,GenericBrand,Fashion,Jeans,10016,INR,5,9515.199999999999,4.3,1321,1390.3,In Stock,2025-01-01,A premium Jeans designed for comfort and style.,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800
P2002,Premium Headphones v82,GenericBrand,Electronics,Headphones,36985,INR,37,23300.55,4.2,1146,13243.2,Limited Stock,2025-01-01,A premium Headphones designed for comfort and style.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800
P2003,Premium Running Shoes v27,GenericBrand,Footwear,Running Shoes,71600,INR,9,65156.0,4.3,1588,13313.5,In Stock,2025-01-01,A premium Running Shoes designed for comfort and style.,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=800
P2004,Premium Travel Bag v87,GenericBrand,Accessories,Travel Bag,42235,INR,23,32520.95,3.9,4986,19586.7,Limited Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P2005,Premium Travel Bag v36,GenericBrand,Accessories,Travel Bag,5262,INR,38,3262.44,4.1,2415,7240.2,In Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
P2006,Premium Boots v22,GenericBrand,Footwear,Boots,69850,INR,20,55880.0,4.5,3242,16470.8,Limited Stock,2025-01-01,A premium Boots designed for comfort and style.,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
P2007,Premium Sunglasses v59,GenericBrand,Accessories,Sunglasses,22954,INR,56,10099.759999999998,4.3,1820,1723.5,Limited Stock,2025-01-01,A premium Sunglasses designed for comfort and style.,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800
P2008,Premium Headphones v48,GenericBrand,Electronics,Headphones,17217,INR,49,8780.67,3.8,3753,14695.3,In Stock,2025-01-01,A premium Headphones designed for comfort and style.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800
P2009,Premium Running Shoes v67,GenericBrand,Footwear,Running Shoes,4534,INR,24,3445.84,3.6,2148,18368.1,In Stock,2025-01-01,A premium Running Shoes designed for comfort and style.,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=800
P20010,Premium Travel Bag v67,GenericBrand,Accessories,Travel Bag,15016,INR,40,9009.6,3.9,2987,6131.9,In Stock,2025-01-01,A premium Travel Bag designed for comfort and style.,https://images.unsplash.com/photo-1547949003-9792a18a2601?w=800
