transaction_id,sale_date,product_id,product_name,category,quantity,unit_price,total_amount,payment_method,customer_region
TXN-10612,2022-01-03 08:49:22,P100017,Levi's Jeans,Fashion,4,2131.42,8525.68,Credit Card,West
TXN-11104,2022-01-05 22:49:51,P2007,Premium Sunglasses v59,Accessories,2,10099.76,20199.52,Debit Card,South
TXN-10399,2022-01-06 11:50:55,P20020,Premium Shirt v42,Fashion,4,10216.92,40867.68,Net Banking,North
TXN-10507,2022-01-06 21:22:09,P2007,Premium Sunglasses v59,Accessories,4,10099.76,40399.04,UPI,East
TXN-10233,2022-01-08 15:28:04,P20012,Premium Smartphone v3,Electronics,3,23016.96,69050.88,UPI,Central
TXN-10580,2022-01-14 02:36:49,P2007,Premium Sunglasses v59,Accessories,5,10099.76,50498.8,UPI,East
TXN-10843,2022-01-17 13:29:27,P20011,Premium Travel Bag v3,Accessories,4,8918.94,35675.76,Net Banking,Central
TXN-10050,2022-01-18 04:25:50,P20018,Premium Smartwatch v14,Electronics,1,4781.5,4781.5,UPI,Central
TXN-10609,2022-01-18 09:38:46,P100032,Nike Air Max,Footwear,5,369.3,1846.5,Debit Card,Central
TXN-10450,2022-01-18 14:22:21,P20011,Premium Travel Bag v3,Accessories,1,8918.94,8918.94,Credit Card,West
TXN-10171,2022-01-18 23:33:08,P100032,Nike Air Max,Footwear,1,369.3,369.3,Net Banking,Central
TXN-10213,2022-01-20 16:08:22,P100027,Boat Earbuds,Electronics,5,16488.24,82441.2,UPI,East
TXN-10724,2022-01-20 16:57:11,P100000,iPhone 13,Electronics,4,28109.96,112439.84,UPI,North
TXN-10479,2022-01-20 17:40:22,P20016,Premium Jacket v77,Fashion,3,17755.36,53266.08,UPI,Central
TXN-10484,2022-01-22 05:37:42,P20017,Premium Jeans v100,Fashion,3,53091.7,159275.1,Credit Card,South
TXN-10025,2022-01-22 14:44:47,P20023,Premium Wallet v49,Accessories,5,2613.16,13065.8,Net Banking,North
TXN-10995,2022-01-24 02:54:50,P100000,iPhone 13,Electronics,2,28109.96,56219.92,Credit Card,East
TXN-11116,2022-01-25 11:56:52,P100000,iPhone 13,Electronics,5,28109.96,140549.8,UPI,North
TXN-10521,2022-01-25 19:05:32,P100026,HP Pavilion,Electronics,1,20719.78,20719.78,Credit Card,South
TXN-10376,2022-01-26 03:14:35,P100000,iPhone 13,Electronics,5,28109.96,140549.8,Debit Card,North
TXN-10302,2022-01-27 15:56:29,P100006,Fossil Watch,Accessories,1,1568.27,1568.27,Net Banking,West
TXN-11076,2022-01-28 21:40:38,P2009,Premium Running Shoes v67,Footwear,5,3445.84,17229.2,UPI,North
TXN-10464,2022-01-29 17:30:15,P100017,Levi's Jeans,Fashion,2,2131.42,4262.84,Debit Card,South
TXN-10369,2022-02-04 23:24:39,P2006,Premium Boots v22,Footwear,1,55880.0,55880.0,Debit Card,Central
TXN-10872,2022-02-06 23:59:45,P100043,H&M Sweatshirt,Fashion,4,1639.44,6557.76,Net Banking,East
TXN-10009,2022-02-08 01:06:10,P100127,Dell Laptop,Electronics,5,46702.04,233510.2,Net Banking,South
TXN-10899,2022-02-11 13:07:55,P100007,Reebok Shoes,Footwear,4,1715.7,6862.8,Credit Card,Central
